mon
#I(TEC),I(LD),P(BFM),P(ASE),THERM,LAMBDA
0.000,0.114,-10000.000,2.372,17.1,-14.6
0.000,0.114,-10000.000,2.357,17.1,-102.2
0.000,0.114,-10000.000,2.372,17.1,0.0
0.000,0.114,-10000.000,2.386,17.1,14.6
0.000,0.114,-10000.000,2.385,17.1,-14.6
0.000,0.114,-10000.000,2.386,17.1,14.6
0.000,0.114,-10000.000,2.388,17.1,14.6
0.000,0.114,-10000.000,2.385,17.1,44.2
0.000,0.114,-10000.000,2.385,17.1,0.0
0.000,0.114,-10000.000,2.385,17.1,-44.2
0.000,0.114,-10000.000,2.385,17.1,-14.6
0.000,0.114,-10000.000,2.386,17.1,14.6
0.000,0.114,-10000.000,2.386,17.1,14.6
0.000,0.114,-10000.000,2.386,17.1,-43.9
0.000,0.114,-10000.000,2.386,17.1,0.0
0.000,0.114,-10000.000,2.386,17.1,0.0
0.000,0.114,-10000.000,2.386,17.1,73.2
0.000,0.114,-10000.000,2.386,17.1,0.0
0.000,0.114,-10000.000,2.385,17.1,-29.6
0.000,0.114,-10000.000,2.386,17.1,0.0
0.000,0.114,-10000.000,2.399,17.1,14.6
0.000,0.114,-10000.000,2.385,17.1,0.0
0.000,0.114,-10000.000,2.386,17.1,-29.2
0.000,0.114,-10000.000,2.385,17.1,-14.3
0.000,0.114,-10000.000,2.386,17.1,0.0
0.000,0.114,-10000.000,2.386,17.1,29.6
0.000,0.114,-10000.000,2.385,17.1,-43.9
0.000,0.114,-10000.000,2.385,17.1,-14.6
0.000,0.114,-10000.000,2.372,17.1,-14.6
0.000,0.114,-10000.000,2.372,17.1,-117.1
0.000,0.114,-10000.000,2.372,17.1,14.6
0.000,0.114,-10000.000,2.373,17.1,-29.6
0.000,0.114,-10000.000,2.373,17.1,0.0
0.000,0.114,-10000.000,2.372,17.1,29.6
0.000,0.114,-10000.000,2.372,17.1,14.9
0.000,0.114,-10000.000,2.371,17.1,0.0
0.000,0.114,-10000.000,2.372,17.1,0.0
0.000,0.114,-10000.000,2.372,17.1,29.2
0.000,0.114,-10000.000,2.373,17.1,-14.9
0.000,0.114,-10000.000,2.372,17.1,29.2
0.000,0.114,-10000.000,2.371,17.1,-14.3
0.000,0.114,-10000.000,2.372,17.1,87.5
0.000,0.114,-10000.000,2.372,17.1,-14.6
0.000,0.114,-10000.000,2.372,17.1,0.0
0.000,0.114,-10000.000,2.371,17.1,-14.6
0.000,0.114,-10000.000,2.358,17.1,28.9
